group_id,point_index,uuid,end_pos_x,end_pos_y,end_pos_z,end_pose_x,end_pose_y,end_pose_z,joint_j1,joint_j2,joint_j3,joint_j4,joint_j5,joint_j6,base_pos_x,base_pos_y,base_pos_z,key
2,54,17605775545201110214,-1681.87,-437.65,3874.68,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,406.85,3449.64,-2107.19,100
2,55,17605775545201110214,-1681.87,-444.79,3874.56,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,413.99,3449.64,-2107.06,100
2,56,17605775545201110214,-1681.87,-451.93,3874.44,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,421.13,3449.64,-2106.94,100
2,57,17605775545201110214,-1681.87,-459.07,3874.31,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,428.27,3449.64,-2106.81,100
2,58,17605775545201110214,-1681.87,-466.21,3874.19,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,435.42,3449.64,-2106.69,100
2,59,17605775545201110214,-1681.87,-473.36,3874.06,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,442.56,3449.64,-2106.56,100
2,60,17605775545201110214,-1681.87,-480.5,3873.94,-178.59,44.99,1.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,449.7,3449.64,-2106.44,50
2,61,17605775545201110214,-1681.87,-493.35,3873.71,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,462.56,3449.64,-2106.22,100
2,62,17605775545201110214,-1681.87,-506.21,3873.49,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,475.41,3449.64,-2105.99,100
2,63,17605775545201110214,-1681.87,-519.06,3873.27,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,488.27,3449.64,-2105.77,100
2,64,17605775545201110214,-1681.87,-531.92,3873.04,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,501.12,3449.64,-2105.54,100
2,65,17605775545201110214,-1681.87,-544.77,3872.82,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,513.98,3449.64,-2105.32,100
2,66,17605775545201110214,-1681.87,-557.63,3872.59,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,526.83,3449.64,-2105.1,100
2,67,17605775545201110214,-1681.87,-570.48,3872.37,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,539.69,3449.64,-2104.87,100
2,68,17605775545201110214,-1681.87,-583.34,3872.15,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,552.54,3449.64,-2104.65,100
2,69,17605775545201110214,-1681.87,-596.19,3871.92,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,565.4,3449.64,-2104.42,100
2,70,17605775545201110214,-1681.87,-609.05,3871.7,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,578.25,3449.64,-2104.2,100
2,71,17605775545201110214,-1681.87,-621.9,3871.47,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,591.11,3449.64,-2103.98,100
2,72,17605775545201110214,-1681.87,-634.76,3871.25,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,603.96,3449.64,-2103.75,100
2,73,17605775545201110214,-1681.87,-647.61,3871.03,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,616.82,3449.64,-2103.53,100
2,74,17605775545201110214,-1681.87,-660.47,3870.8,-178.59,44.99,1.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,629.67,3449.64,-2103.3,60
2,75,17605775545201110214,-1701.87,-624.71,3704.42,-178.59,44.99,1.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,593.91,3469.64,-1936.92,70
3,76,17605775545201870215,-1570.69,-690.42,3703.27,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2427.12,1570.7,-1904.98,0
3,77,17605775545201870215,-1570.69,-680.12,3850.46,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2416.83,1570.7,-2052.17,10
3,78,17605775545201870215,-1570.69,-651.07,3850.96,-180.0,44.0,90.0,1.57,0.65,-0.33,-0.0,-1.91,-3.14,2416.83,1570.7,-2052.17,11
3,79,17605775545201870215,-1570.69,-620.13,3851.5,-180.0,44.0,90.0,1.57,0.71,-0.41,-0.0,-1.88,-3.14,2416.83,1570.7,-2052.17,12
3,80,17605775545201870215,-1570.69,-680.12,3850.46,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2416.83,1570.7,-2052.17,20
3,81,17605775545201870215,-1570.69,-680.63,3879.5,-180.0,44.0,90.0,1.57,0.59,-0.28,-0.0,-1.9,-3.14,2416.83,1570.7,-2052.17,21
3,82,17605775545201870215,-1570.69,-681.16,3910.45,-180.0,44.0,90.0,1.57,0.58,-0.3,-0.0,-1.87,-3.14,2416.83,1570.7,-2052.17,22
3,83,17605775545201870215,-1570.69,-680.12,3850.46,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2416.83,1570.7,-2052.17,10
3,84,17605775545201870215,-1550.69,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1550.7,-2072.51,40
3,85,17605775545201870215,-1557.83,-660.47,3870.8,0.0,136.0,-90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1557.84,-2072.51,100
3,86,17605775545201870215,-1564.98,-660.47,3870.8,0.0,136.0,-90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1564.98,-2072.51,100
3,87,17605775545201870215,-1572.12,-660.47,3870.8,0.0,136.0,-90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1572.12,-2072.51,100
3,88,17605775545201870215,-1579.26,-660.47,3870.8,0.0,136.0,-90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1579.27,-2072.51,100
3,89,17605775545201870215,-1586.4,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1586.41,-2072.51,100
3,90,17605775545201870215,-1593.55,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1593.55,-2072.51,100
3,91,17605775545201870215,-1600.69,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1600.7,-2072.51,100
3,92,17605775545201870215,-1607.83,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1607.84,-2072.51,100
3,93,17605775545201870215,-1614.98,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1614.98,-2072.51,100
3,94,17605775545201870215,-1622.12,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1622.12,-2072.51,100
3,95,17605775545201870215,-1629.26,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1629.27,-2072.51,100
3,96,17605775545201870215,-1636.4,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1636.41,-2072.51,100
3,97,17605775545201870215,-1643.55,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1643.55,-2072.51,100
3,98,17605775545201870215,-1650.69,-660.47,3870.8,180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1650.7,-2072.51,50
